# gerado em 2026-09-21 por 08_alvos_legislativos.py
# fonte do PAM: pam_ce_muni_cultura_media__sidra.parquet | decil = topo 10% por área
# confianca: nao_verificado | confirmado | ausente_conferido | inconclusivo
# ⚠️ 'inconclusivo' NÃO é 'ausente_conferido' — ver o docstring do script e docs/legislacao/README.md §1
# varredura de câmaras: 2026-09-21 por 09_varre_camaras.py
# varredura de câmaras: 2026-09-21 por 09_varre_camaras.py
# 2026-09-22: colunas data_revogacao/fonte_revogacao — Limoeiro (Lei 1.478/2009) revogada em 20/05/2010 segundo CPT 2014 e MST 2019; ver docs/ars/16-diluicao-corolario1-limoeiro-calibracao.md §5
# 2026-09-22 (sessao remota): revogadora identificada - Lei 1.511, de 26/05/2010 (politica ambiental; revogacao num artigo do corpo, nao na ementa). 20/05/2010 (CPT) e provavel data da votacao. Texto integral a conferir - ver docs/legislacao/README.md
cod_ibge6,municipio,prioridade,tem_lei,numero_lei,data_lei,ementa,url_fonte,data_consulta,escopo,confianca,motivo_alvo,area_max_ha,rank_melhor,data_revogacao,fonte_revogacao
230100,Aquiraz,1,,,,,,,,nao_verificado,Manga (1º/170); Cana-de-açúcar (7º/120); Coco-da-baía* (10º/165),993.0,1,,
230110,Aracati,1,,,,,,,,nao_verificado,Melão (1º/10); Melancia (1º/47); Mamão (3º/105); Castanha de caju (7º/170); Goiaba (9º/86); Manga (12º/170); Coco-da-baía* (14º/165),13771.5,1,,
230220,Beberibe,1,,,,,,,,nao_verificado,Castanha de caju (1º/170); Manga (4º/170); Coco-da-baía* (6º/165); Cana-de-açúcar (12º/120),30959.25,1,,
230500,Guaraciaba do Norte,1,nao,,,,https://www.cmguaraciabadonorte.ce.gov.br/institucional/legislacao/export/?format=json&pagina=2,2026-09-21,,ausente_conferido,Tomate (1º/71); Cana-de-açúcar (3º/120); Mamão (8º/105); Banana (cacho) (16º/169),1500.0,1,,
230535,Icapuí,1,,,,,,,,nao_verificado,Mamão (1º/105); Melancia (2º/47); Coco-da-baía* (11º/165); Castanha de caju (11º/170),10321.0,1,,
230630,Itapajé,1,nao,,,,https://www.itapaje.ce.gov.br/leis.php,2026-09-21,,ausente_conferido,Banana (cacho) (1º/169),4774.0,1,,
231140,Quixeramobim,1,,,,,,,,nao_verificado,Algodão herbáceo (em caroço) (1º/28); Milho (em grão) (10º/184),10870.0,1,,
231180,Russas,1,nao,,,,https://www.camararussas.ce.gov.br/institucional/legislacao/export/?format=json&pagina=2,2026-09-21,,ausente_conferido,Uva (1º/6); Goiaba (1º/86); Banana (cacho) (12º/169); Coco-da-baía* (17º/165); Rigotto et al. (2013),1101.75,1,,
231210,Santana do Cariri,1,,,,,,,,nao_verificado,Abacaxi* (1º/5),36.0,1,,
231230,São Benedito,1,,,,,,,,nao_verificado,Cana-de-açúcar (1º/120); Tomate (3º/71); Mamão (10º/105),2000.0,1,,
