outcome,zero_definition,omitted_control,estimate
peso_medio,1,230080,-36.06781983412413
peso_medio,1,230150,-35.280075931201665
peso_medio,1,230445,-41.70147962370268
peso_medio,1,230490,-28.871078551365827
peso_medio,1,230523,-36.19236865852589
peso_medio,1,230526,-35.66695100352801
peso_medio,1,230533,-37.810693308456976
peso_medio,1,230725,-40.38775881796151
peso_medio,1,230790,-32.37944319318259
peso_medio,1,230837,-39.55690943571692
peso_medio,1,230890,-33.35196881133349
peso_medio,1,230990,-29.01416295446279
peso_medio,1,231000,-36.14125281730786
peso_medio,1,231040,-30.69494927698968
peso_medio,1,231123,-36.819579536888305
peso_medio,4,230080,-37.05431901095015
peso_medio,4,230150,-36.2059794231875
peso_medio,4,230445,-43.1213372458809
peso_medio,4,230490,-29.30398224490275
peso_medio,4,230526,-36.62261411646203
peso_medio,4,230533,-38.931259675616296
peso_medio,4,230725,-41.70656099354425
peso_medio,4,230790,-33.08222108993618
peso_medio,4,230837,-40.81180012035777
peso_medio,4,230890,-34.12955637102178
peso_medio,4,230990,-29.45807314054563
peso_medio,4,231000,-37.13340068514801
peso_medio,4,231040,-31.268150718651512
peso_medio,4,231123,-37.863906383157726
taxa_obito_fetal,1,230080,-0.0006210173115388589
taxa_obito_fetal,1,230150,0.0010806915158567817
taxa_obito_fetal,1,230445,6.535377822207303e-05
taxa_obito_fetal,1,230490,0.0004797025285757775
taxa_obito_fetal,1,230523,0.0001764770220460941
taxa_obito_fetal,1,230526,0.0006369201001995216
taxa_obito_fetal,1,230533,0.0004922994719762924
taxa_obito_fetal,1,230725,0.0007449213860943592
taxa_obito_fetal,1,230790,-0.000179734057755605
taxa_obito_fetal,1,230837,0.00013752325257397353
taxa_obito_fetal,1,230890,0.0003195454951147222
taxa_obito_fetal,1,230990,0.0009794410797849167
taxa_obito_fetal,1,231000,0.00012700317377558246
taxa_obito_fetal,1,231040,0.0003512300294362616
taxa_obito_fetal,1,231123,-0.0008091514454147509
taxa_obito_fetal,4,230080,-0.000784982313218911
taxa_obito_fetal,4,230150,0.0010476271932071631
taxa_obito_fetal,4,230445,-4.5813447322523224e-05
taxa_obito_fetal,4,230490,0.00040040828382762004
taxa_obito_fetal,4,230526,0.0005697195148070365
taxa_obito_fetal,4,230533,0.00041397422287432837
taxa_obito_fetal,4,230725,0.0006860285919245544
taxa_obito_fetal,4,230790,-0.00030975419376002265
taxa_obito_fetal,4,230837,3.1907525056446636e-05
taxa_obito_fetal,4,230890,0.0002279314785618682
taxa_obito_fetal,4,230990,0.0009385882620528469
taxa_obito_fetal,4,231000,2.057820942741003e-05
taxa_obito_fetal,4,231040,0.0002620532847542953
taxa_obito_fetal,4,231123,-0.000987588303546795
