label,n_t,n_c,estimate,change_t,change_c,se_welch,df_welch,ci_normal_low,ci_normal_high,ci_welch_low,ci_welch_high
oct2019_positive_zero1,169,15,-35.329099450316555,-16.73641930141564,18.592680148900914,14.423924644702907,15.7412904322027,-63.599991753934255,-7.058207146698855,-65.94734754751876,-4.7108513531143466
oct2019_positive_zero4,169,14,-36.19236865852589,-16.73641930141564,19.455949357110253,15.406834244275627,14.402072274399735,-66.38976377730611,-5.994973539745665,-69.15040327528655,-3.234334041765237
oct2019_top_zero4,17,14,-24.21371471326316,-4.757765356152905,19.455949357110253,18.984475256022357,25.72678347667382,-61.42328621506698,12.995856788540664,-63.25704229706954,14.829612870543222
jan2019_positive_zero1,169,15,-32.817358299761665,-14.693145971961378,18.124212327800283,14.304164779539887,15.569473081015408,-60.85352126765984,-4.781195331863486,-63.20912349144645,-2.4255931080768853
jan2019_positive_zero4,169,14,-33.71634109677454,-14.693145971961378,19.02319512481316,15.281443635808214,14.264581382222481,-63.66797062295864,-3.7647115705904426,-66.43483651116267,-0.9978456823864192
jan2019_top_zero4,17,14,-21.851818354504402,-2.828623229691242,19.02319512481316,18.882968308620754,25.743266624138165,-58.86243623940108,15.158799530392272,-60.68516394146523,16.981527232456422
jan2019_year_means_positive_zero1,169,15,-32.724491495938096,-14.600279168137781,18.12421232780031,14.307657337963658,15.584611149033003,-60.76749987834687,-4.681483113529328,-63.12120645782882,-2.3277765340473735
jan2019_year_means_positive_zero4,169,14,-33.623474292950945,-14.600279168137781,19.02319512481316,15.284712887546808,14.276744770988948,-63.58151155254269,-3.6654370333592006,-66.34640615669849,-0.900542429203405
jan2019_year_means_top_zero4,17,14,-21.851818354504427,-2.8286232296912686,19.02319512481316,18.88296830862077,25.74326662413814,-58.862436239401134,15.158799530392283,-60.68516394146528,16.981527232456425
oct2019_no2020_21_positive_zero1,169,15,-34.432538588524146,-38.08818652606898,-3.655647937544836,20.843219931532847,15.243726358401986,-75.28524965432852,6.420172477280232,-78.79702381365864,9.931946636610348
oct2019_no2020_21_positive_zero4,169,14,-36.12778591191573,-38.08818652606898,-1.960400614153254,22.2524393171809,14.005508065776356,-79.7425669735903,7.486995149758833,-83.85276066949908,11.597188845667617
oct2019_no2020_21_top_zero4,17,14,-29.362841239579765,-31.32324185373302,-1.960400614153254,24.495936981089947,19.51466561976976,-77.37487772251606,18.64919524335653,-80.54206108351927,21.81637860435974
oct2019_baby_weighted_positive_zero1,169,15,-35.65816922696422,-16.81284584413731,18.845323382826912,14.486147248766093,15.57245930152388,-64.05101783454576,-7.265320619382678,-66.43609493545935,-4.880243518469086
oct2019_baby_weighted_positive_zero4,169,14,-36.55123757042135,-16.81284584413731,19.73839172628404,15.476930642309924,14.266777040972663,-66.8860216293488,-6.216453511493899,-69.68781362375127,-3.4146615170914316
oct2019_baby_weighted_top_zero4,17,14,-22.187093246667068,-2.4487015203830302,19.73839172628404,19.080625667725116,25.65030349744404,-59.58511955540829,15.210933062074155,-61.43392150666582,17.059735013331682
