desenho,nota,vpp,g1_pedido,g0_pedido,veredito,motivo,g1,g0,nascimentos_ano_tratados,sd_placebo_g,mde_agrupado_g,mde_por_unidade_g,theta_f0.10_d80,poder_f0.10_d80,theta_f0.10_d150,poder_f0.10_d150,theta_f0.25_d80,poder_f0.25_d80,theta_f0.25_d150,poder_f0.25_d150,theta_f0.50_d80,poder_f0.50_d80,theta_f0.50_d150,poder_f0.50_d150,file,scope,sigma,tau
top_zero4,,0.11764705882352941,17,14,calculado,,17,14,9955.0,54.42153545082927,54.99474473370803,52.32135615242561,0.9411764705882353,0.05029065021340423,1.7647058823529411,0.05102227709758478,2.3529411764705883,0.051818258877556644,4.411764705882353,0.056409743763233045,4.705882352941177,0.05729661815194198,8.823529411764707,0.07591046942894092,nascimentos_ce_muni_mes.parquet,all,597.109121551676,24.94236505873721
top_zero1,,0.11764705882352941,17,15,calculado,,17,15,9955.0,53.59772976414291,53.162980987514025,50.22529063411931,0.9411764705882353,0.05031542092091906,1.7647058823529411,0.05110944234942971,2.3529411764705883,0.051973374213535484,4.411764705882353,0.05695812325185989,4.705882352941177,0.05792120335890033,8.823529411764707,0.07814948084894485,nascimentos_ce_muni_mes.parquet,all,597.109121551676,24.94236505873721
top_others,,0.11764705882352941,17,167,calculado,,17,167,9955.0,47.45698798681201,33.828630579259496,30.472236987634325,0.9411764705882353,0.05085717930863909,1.7647058823529411,0.05301745334546071,2.3529411764705883,0.05537185021344748,4.411764705882353,0.06902958272021087,4.705882352941177,0.07168144459110498,8.823529411764707,0.12803389766494172,nascimentos_ce_muni_mes.parquet,all,597.109121551676,24.94236505873721
positive_zero4,,0.04142011834319527,169,14,calculado,,169,14,126051.75,47.58573537733891,37.05552675198131,44.853265634911814,0.33136094674556216,0.05004901438420978,0.6213017751479291,0.050172333738296604,0.8284023668639053,0.050306397592976615,1.5532544378698225,0.051077689544149874,1.6568047337278107,0.05122628200141327,3.106508875739645,0.05431914703746288,nascimentos_ce_muni_mes.parquet,all,597.109121551676,24.94236505873721
positive_zero1,,0.04142011834319527,169,15,calculado,,169,15,126051.75,47.45698798681201,35.79959651166119,42.38951459699377,0.33136094674556216,0.05005487797396113,0.6213017751479291,0.05019295121534417,0.8284023668639053,0.05034305724354815,1.5532544378698225,0.051206699100737774,1.6568047337278107,0.051373094120426954,3.106508875739645,0.054837290466552446,nascimentos_ce_muni_mes.parquet,all,597.109121551676,24.94236505873721
aero_ce_others,,1.0,7,177,calculado,,7,177,3756.75,47.45698798681201,51.207250836409756,43.54435202724352,8.0,0.08082564036953022,15.0,0.1614886045362922,20.0,0.2507666091859166,37.5,0.674144918789845,40.0,0.7297757800273168,75.0,0.997899793316482,nascimentos_ce_muni_mes.parquet,all,597.109121551676,24.94236505873721
top_zero4,,0.11764705882352941,17,14,calculado,,17,14,9955.0,54.42153545082927,54.99474473370803,56.71248442222016,0.9411764705882353,0.05024737700787124,1.7647058823529411,0.050870019438241654,2.3529411764705883,0.05154733801848288,4.411764705882353,0.055452533354377664,4.705882352941177,0.05620650797020932,8.823529411764707,0.07200977987172474,nascimentos_ce_muni_mes__uf23-24.parquet,all,587.9479956319991,33.96555541449875
top_zero1,,0.11764705882352941,17,15,calculado,,17,15,9955.0,53.59772976414291,53.162980987514025,54.656702062833894,0.9411764705882353,0.05026633919863005,1.7647058823529411,0.050936735828329416,2.3529411764705883,0.051666045648829095,4.411764705882353,0.05587185733079986,4.705882352941177,0.056684032356036085,8.823529411764707,0.07371734097924093,nascimentos_ce_muni_mes__uf23-24.parquet,all,587.9479956319991,33.96555541449875
top_others,,0.11764705882352941,17,167,calculado,,17,167,9955.0,47.45698798681201,33.828630579259496,34.35105176759996,0.9411764705882353,0.05067445307600471,1.7647058823529411,0.05237356692250661,2.3529411764705883,0.054224337497115305,4.411764705882353,0.064941904795906,4.705882352941177,0.06701966672183723,8.823529411764707,0.11103984833215147,nascimentos_ce_muni_mes__uf23-24.parquet,all,587.9479956319991,33.96555541449875
positive_zero4,,0.04142011834319527,169,14,calculado,,169,14,126051.75,47.58573537733891,37.05552675198131,47.79500880868707,0.33136094674556216,0.050043166105893266,0.6213017751479291,0.050151770469126666,0.8284023668639053,0.05026983504191329,1.5532544378698225,0.05094903598994582,1.6568047337278107,0.051079878114184574,3.106508875739645,0.05380266432516989,nascimentos_ce_muni_mes__uf23-24.parquet,all,587.9479956319991,33.96555541449875
